PONumber,VendorName,invoice_quantity,invoice_dollars,Freight,days_po_to_invoice,days_to_pay,total_brands,total_item_quantity,total_item_dollars,avg_receiving_delay,flag_invoice
8839,CAMPARI AMERICA            ,6641,56586.79,311.23,18.0,43.0,45,6641,56586.79,8.079545454545455,0
9239,SURVILLE ENTERPRISES CORP  ,73,622.5,3.05,14.0,45.0,4,73,622.5,9.555555555555555,0
8957,SEA HAGG DISTILLERY LLC    ,130,1729.42,8.65,19.0,39.0,4,130,1729.4199999999998,8.416666666666666,0
8791,TY KU LLC                  ,66,753.54,3.54,18.0,25.0,2,66,753.54,5.857142857142857,0
8396,PROXIMO SPIRITS INC.       ,8025,84022.1,420.11,14.0,42.0,57,8025,84022.1,4.9861325115562405,0
11222,SWEETWATER FARM         ,34,757.59,3.56,10.0,39.0,3,34,757.5899999999999,7.0,0
12724,CASTLE BRANDS CORP.        ,2044,31008.9,145.74,15.0,41.0,1,12,188.88,9.0,1
12563,NICHE W & S                ,222,2521.68,13.62,19.0,29.0,1,54,1156.68,9.5,1
8620,CANDIA VINEYARDS           ,144,1981.68,10.3,17.0,28.0,5,144,1981.6799999999998,9.25,0
9055,"STOLI GROUP,(USA) LLC      ",3495,56664.98,305.99,14.0,44.0,19,3495,56664.98,8.184952978056426,0
12254,BACARDI USA INC            ,264,4403.92,22.9,12.0,39.0,22,264,4403.92,8.10344827586207,0
9146,STATE WINE & SPIRITS   ,3674,34692.66,169.99,18.0,31.0,39,3674,34692.659999999996,9.341463414634147,0
13596,LUXCO INC                  ,6161,47765.92,229.28,16.0,28.0,20,472,5686.68,7.777777777777778,1
8364,LAIRD & CO                 ,74,902.01,4.78,13.0,46.0,4,74,902.01,6.5,0
12527,PARK STREET IMPORTS LLC    ,217,3475.09,18.77,17.0,38.0,74,7109,53354.79,10.060661764705882,1
10499,DJINN SPIRITS LLC          ,34,806.44,4.27,15.0,38.0,2,34,806.44,6.5,0
11184,TRINCHERO FAMILY ESTATES   ,5741,37798.2,170.09,18.0,35.0,60,5741,37798.2,7.256849315068493,0
12596,DUGGANS DISTILLED PRODUCTS ,210,2383.88,12.4,17.0,29.0,56,5600,36575.9,6.096267190569745,1
11724,SOUTHERN WINE & SPIRITS NE ,7030,59675.91,316.28,12.0,30.0,91,7030,59675.91,5.118032786885246,0
9908,KLIN SPIRITS LLC           ,79,1111.53,5.45,13.0,29.0,1,79,1111.53,4.714285714285714,0
13160,GILMANTON WINERY & VINEYARD,24,252.48,1.16,15.0,45.0,92,22192,121407.45,8.874605322507893,1
11810,FABRIZIA SPIRITS LLC       ,678,9782.13,48.91,17.0,41.0,6,678,9782.13,6.283783783783784,0
